sid,proj_id,run_id,samp_id,strat,tech,body_subsite,subject_id,body_site,body_subsite_int,body_site_int,nreads,nreads_unmapped,primer,n_otus
SRR045089.SRS011561,SRP002395,SRR045089,SRS011561,METAGENOMIC ,AMPLICON,Buccal mucosa,241834,Oral,3,2,11240,6940,V13/V35,76
SRR040986.SRS013189,SRP002395,SRR040986,SRS013189,METAGENOMIC ,AMPLICON,Tongue dorsum,241704,Oral,10,2,5150,2847,V3-V5,68
SRR048948.SRS014760,SRP002395,SRR048948,SRS014760,METAGENOMIC ,AMPLICON,Throat,241824,Oral,9,2,7300,2258,V13/V35,73
SRR170118.SRS143744,SRP002860,SRR170118,SRS143744,METAGENOMIC ,AMPLICON,Saliva,241696,Oral,6,2,16928,6910,V13/V35,144
SRR049607.SRS042669,SRP002395,SRR049607,SRS042669,METAGENOMIC ,AMPLICON,Stool,241758,Gastrointestinal tract,1,1,14147,5310,V13/V35,65
SRR041149.SRS024345,SRP002395,SRR041149,SRS024345,METAGENOMIC ,AMPLICON,Hard palate,241814,Oral,4,2,5023,2762,V3-V5,95
SRR045044.SRS011409,SRP002395,SRR045044,SRS011409,METAGENOMIC ,AMPLICON,Tongue dorsum,241834,Oral,10,2,4081,2105,V13/V35,41
SRR049237.SRS011296,SRP002395,SRR049237,SRS011296,METAGENOMIC ,AMPLICON,Anterior nares,241748,Airways,0,0,4950,2488,V13/V35,43
SRR047367.SRS014544,SRP002395,SRR047367,SRS014544,METAGENOMIC ,AMPLICON,Anterior nares,241730,Airways,0,0,6510,4731,V13/V35,48
SRR040784.SRS017776,SRP002395,SRR040784,SRS017776,METAGENOMIC ,AMPLICON,Tongue dorsum,241782,Oral,10,2,5651,2697,V3-V5,70
SRR172155.SRS076826,SRP002860,SRR172155,SRS076826,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241723,Skin,12,3,21494,13261,V13/V35,42
SRR046670.SRS057595,SRP002395,SRR046670,SRS057595,METAGENOMIC ,AMPLICON,Palatine Tonsils,241872,Oral,5,2,10020,3842,V13/V35,69
SRR328540.SRS018872,SRP002860,SRR328540,SRS018872,METAGENOMIC ,AMPLICON,Stool,241716,Gastrointestinal tract,1,1,8420,5166,V13/V35,77
SRR049557.SRS064628,SRP002395,SRR049557,SRS064628,METAGENOMIC ,AMPLICON,Throat,241805,Oral,9,2,10653,6193,V13/V35,85
SRR041994.SRS024287,SRP002395,SRR041994,SRS024287,METAGENOMIC ,AMPLICON,Throat,241712,Oral,9,2,6907,3235,V3-V5,75
SRR046554.SRS063675,SRP002395,SRR046554,SRS063675,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241825,Skin,11,3,6591,3828,V13/V35,63
SRR047131.SRS058170,SRP002395,SRR047131,SRS058170,METAGENOMIC ,AMPLICON,Saliva,241708,Oral,6,2,3938,2826,V13/V35,56
SRR046564.SRS064299,SRP002395,SRR046564,SRS064299,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241825,Skin,13,3,4166,1732,V13/V35,65
SRR048229.SRS023514,SRP002395,SRR048229,SRS023514,METAGENOMIC ,AMPLICON,Subgingival plaque,241709,Oral,7,2,4045,2424,V13/V35,114
SRR048617.SRS047088,SRP002395,SRR048617,SRS047088,METAGENOMIC ,AMPLICON,Subgingival plaque,241691,Oral,7,2,7610,3803,V13/V35,122
SRR040764.SRS024410,SRP002395,SRR040764,SRS024410,METAGENOMIC ,AMPLICON,Throat,241764,Oral,9,2,4438,1934,V3-V5,69
SRR044801.SRS011161,SRP002395,SRR044801,SRS011161,METAGENOMIC ,AMPLICON,Tongue dorsum,241686,Oral,10,2,9943,5302,V13/V35,80
SRR044454.SRS016176,SRP002395,SRR044454,SRS016176,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241696,Skin,14,3,6437,3841,V13/V35,36
SRR045255.SRS011484,SRP002395,SRR045255,SRS011484,METAGENOMIC ,AMPLICON,Tongue dorsum,241673,Oral,10,2,7751,3528,V13/V35,87
SRR048042.SRS024545,SRP002395,SRR048042,SRS024545,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241819,Skin,13,3,32193,14749,V13/V35,76
SRR048312.SRS022508,SRP002395,SRR048312,SRS022508,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241810,Skin,12,3,19625,15382,V13/V35,53
SRR049870.SRS014665,SRP002395,SRR049870,SRS014665,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241720,Skin,12,3,10024,5122,V13/V35,19
SRR047642.SRS019679,SRP002395,SRR047642,SRS019679,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241791,Skin,11,3,2766,1051,V13/V35,35
SRR047100.SRS063784,SRP002395,SRR047100,SRS063784,METAGENOMIC ,AMPLICON,Hard palate,241805,Oral,4,2,9221,4998,V13/V35,82
SRR125794.SRS078030,SRP002860,SRR125794,SRS078030,METAGENOMIC ,AMPLICON,Throat,241672,Oral,9,2,7688,2980,V1-V3,122
SRR044467.SRS015601,SRP002395,SRR044467,SRS015601,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241784,Skin,12,3,8238,1678,V13/V35,20
SRR091334.SRS077602,SRP002860,SRR091334,SRS077602,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,268880,Oral,2,2,5757,2580,V3-V5,22
SRR045058.SRS011289,SRP002395,SRR045058,SRS011289,METAGENOMIC ,AMPLICON,Subgingival plaque,241748,Oral,7,2,5078,3185,V13/V35,79
SRR048717.SRS056331,SRP002395,SRR048717,SRS056331,METAGENOMIC ,AMPLICON,Saliva,241839,Oral,6,2,15630,9873,V13/V35,123
SRR045055.SRS011615,SRP002395,SRR045055,SRS011615,METAGENOMIC ,AMPLICON,Vaginal introitus,241783,Urogenital tract,17,4,8558,6660,V13/V35,34
SRR046664.SRS064034,SRP002395,SRR046664,SRS064034,METAGENOMIC ,AMPLICON,Mid vagina,241850,Urogenital tract,15,4,7495,5884,V13/V35,30
SRR044815.SRS011571,SRP002395,SRR044815,SRS011571,METAGENOMIC ,AMPLICON,Subgingival plaque,241834,Oral,7,2,8108,4721,V13/V35,106
SRR328687.SRS063810,SRP002860,SRR328687,SRS063810,METAGENOMIC ,AMPLICON,Saliva,257118,Oral,6,2,5467,2286,V13/V35,113
SRR045329.SRS011283,SRP002395,SRR045329,SRS011283,METAGENOMIC ,AMPLICON,Palatine Tonsils,241748,Oral,5,2,3851,2271,V13/V35,72
SRR046329.SRS054441,SRP002395,SRR046329,SRS054441,METAGENOMIC ,AMPLICON,Supragingival plaque,241761,Oral,8,2,8760,3627,V13/V35,58
SRR048293.SRS013770,SRP002395,SRR048293,SRS013770,METAGENOMIC ,AMPLICON,Saliva,241819,Oral,6,2,6874,3225,V13/V35,125
SRR041092.SRS024406,SRP002395,SRR041092,SRS024406,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241764,Oral,2,2,4016,2863,V3-V5,24
SRR048360.SRS013784,SRP002395,SRR048360,SRS013784,METAGENOMIC ,AMPLICON,Throat,241819,Oral,9,2,8107,3648,V13/V35,99
SRR042936.SRS020447,SRP002395,SRR042936,SRS020447,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241680,Skin,13,3,2157,1009,V3-V5,35
SRR125809.SRS148786,SRP002860,SRR125809,SRS148786,METAGENOMIC ,AMPLICON,Saliva,268871,Oral,6,2,6175,2119,V3-V5,85
SRR042955.SRS017296,SRP002395,SRR042955,SRS017296,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241724,Skin,14,3,3629,1192,V3-V5,20
SRR172347.SRS146912,SRP002860,SRR172347,SRS146912,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241832,Skin,14,3,6094,4197,V13/V35,18
SRR041877.SRS024301,SRP002395,SRR041877,SRS024301,METAGENOMIC ,AMPLICON,Anterior nares,241712,Airways,0,0,3418,2141,V3-V5,36
SRR048051.SRS021627,SRP002395,SRR048051,SRS021627,METAGENOMIC ,AMPLICON,Subgingival plaque,241668,Oral,7,2,8183,4487,V13/V35,109
SRR044897.SRS011510,SRP002395,SRR044897,SRS011510,METAGENOMIC ,AMPLICON,Buccal mucosa,241702,Oral,3,2,9195,5738,V13/V35,115
SRR043853.SRS014879,SRP002395,SRR043853,SRS014879,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241830,Skin,14,3,17083,7743,V13/V35,46
SRR328712.SRS146851,SRP002860,SRR328712,SRS146851,METAGENOMIC ,AMPLICON,Saliva,257130,Oral,6,2,6492,3497,V13/V35,99
SRR047475.SRS011549,SRP002395,SRR047475,SRS011549,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241837,Skin,12,3,11098,4330,V13/V35,67
SRR040940.SRS023991,SRP002395,SRR040940,SRS023991,METAGENOMIC ,AMPLICON,Palatine Tonsils,241704,Oral,5,2,4244,2288,V3-V5,93
SRR328757.SRS018633,SRP002860,SRR328757,SRS018633,METAGENOMIC ,AMPLICON,Buccal mucosa,241692,Oral,3,2,6773,3620,V13/V35,61
SRR041904.SRS022625,SRP002395,SRR041904,SRS022625,METAGENOMIC ,AMPLICON,Buccal mucosa,241820,Oral,3,2,5936,4344,V3-V5,92
SRR044415.SRS018765,SRP002395,SRR044415,SRS018765,METAGENOMIC ,AMPLICON,Vaginal introitus,241832,Urogenital tract,17,4,8407,1656,V13/V35,9
SRR048092.SRS021553,SRP002395,SRR048092,SRS021553,METAGENOMIC ,AMPLICON,Tongue dorsum,241843,Oral,10,2,7126,3648,V13/V35,66
SRR044067.SRS015356,SRP002395,SRR044067,SRS015356,METAGENOMIC ,AMPLICON,Hard palate,241811,Oral,4,2,6901,4288,V13/V35,99
SRR049525.SRS042359,SRP002395,SRR049525,SRS042359,METAGENOMIC ,AMPLICON,Palatine Tonsils,241857,Oral,5,2,8775,4730,V13/V35,95
SRR172226.SRS142973,SRP002860,SRR172226,SRS142973,METAGENOMIC ,AMPLICON,Palatine Tonsils,241866,Oral,5,2,10522,5763,V13/V35,87
SRR170230.SRS098735,SRP002860,SRR170230,SRS098735,METAGENOMIC ,AMPLICON,Supragingival plaque,241758,Oral,8,2,15594,8926,V13/V35,90
SRR043601.SRS014281,SRP002395,SRR043601,SRS014281,METAGENOMIC ,AMPLICON,Throat,241825,Oral,9,2,8865,3152,V13/V35,122
SRR047087.SRS062408,SRP002395,SRR047087,SRS062408,METAGENOMIC ,AMPLICON,Hard palate,241876,Oral,4,2,9059,5667,V13/V35,105
SRR046392.SRS049266,SRP002395,SRR046392,SRS049266,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241875,Oral,2,2,49823,22703,V13/V35,99
SRR045564.SRS057813,SRP002395,SRR045564,SRS057813,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241825,Oral,2,2,9432,4717,V13/V35,88
SRR044086.SRS015239,SRP002395,SRR044086,SRS015239,METAGENOMIC ,AMPLICON,Palatine Tonsils,241729,Oral,5,2,8926,4028,V13/V35,91
SRR170412.SRS149520,SRP002860,SRR170412,SRS149520,METAGENOMIC ,AMPLICON,Left Retroauricular crease,257131,Skin,12,3,10725,8621,V13/V35,13
SRR047434.SRS018733,SRP002395,SRR047434,SRS018733,METAGENOMIC ,AMPLICON,Stool,241832,Gastrointestinal tract,1,1,10131,3850,V13/V35,53
SRR048260.SRS013543,SRP002395,SRR048260,SRS013543,METAGENOMIC ,AMPLICON,Stool,241796,Gastrointestinal tract,1,1,6111,3827,V13/V35,44
SRR048399.SRS047619,SRP002395,SRR048399,SRS047619,METAGENOMIC ,AMPLICON,Anterior nares,241760,Airways,0,0,5470,2325,V13/V35,68
SRR044176.SRS015506,SRP002395,SRR044176,SRS015506,METAGENOMIC ,AMPLICON,Mid vagina,241707,Urogenital tract,15,4,8401,1097,V13/V35,10
SRR328862.SRS064627,SRP002860,SRR328862,SRS064627,METAGENOMIC ,AMPLICON,Hard palate,257121,Oral,4,2,10145,8339,V13/V35,66
SRR089904.SRS103499,SRP002860,SRR089904,SRS103499,METAGENOMIC ,AMPLICON,Palatine Tonsils,268873,Oral,5,2,3930,2026,V3-V5,103
SRR171154.SRS150001,SRP002860,SRR171154,SRS150001,METAGENOMIC ,AMPLICON,Anterior nares,241772,Airways,0,0,5072,3316,V13/V35,61
SRR089878.SRS074705,SRP002860,SRR089878,SRS074705,METAGENOMIC ,AMPLICON,Buccal mucosa,241715,Oral,3,2,7504,4893,V3-V5,100
SRR170895.SRS147473,SRP002860,SRR170895,SRS147473,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241771,Oral,2,2,6599,3867,V13/V35,69
SRR047191.SRS044606,SRP002395,SRR047191,SRS044606,METAGENOMIC ,AMPLICON,Saliva,257131,Oral,6,2,10470,8051,V13/V35,108
SRR170768.SRS143917,SRP002860,SRR170768,SRS143917,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241716,Skin,12,3,5290,3562,V13/V35,37
SRR049825.SRS014774,SRP002395,SRR049825,SRS014774,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241824,Skin,13,3,4947,1651,V13/V35,13
SRR049878.SRS015683,SRP002395,SRR049878,SRS015683,METAGENOMIC ,AMPLICON,Subgingival plaque,241845,Oral,7,2,10069,4549,V13/V35,115
SRR044413.SRS016229,SRP002395,SRR044413,SRS016229,METAGENOMIC ,AMPLICON,Buccal mucosa,241687,Oral,3,2,7544,4121,V13/V35,63
SRR040750.SRS024588,SRP002395,SRR040750,SRS024588,METAGENOMIC ,AMPLICON,Palatine Tonsils,241833,Oral,5,2,5523,3270,V3-V5,92
SRR048491.SRS056854,SRP002395,SRR048491,SRS056854,METAGENOMIC ,AMPLICON,Vaginal introitus,241831,Urogenital tract,17,4,9054,859,V13/V35,31
SRR047775.SRS022999,SRP002395,SRR047775,SRS022999,METAGENOMIC ,AMPLICON,Tongue dorsum,241700,Oral,10,2,7871,3796,V13/V35,98
SRR045125.SRS011563,SRP002395,SRR045125,SRS011563,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241834,Oral,2,2,9408,5458,V13/V35,20
SRR043841.SRS014452,SRP002395,SRR043841,SRS014452,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241812,Skin,14,3,13759,3992,V13/V35,25
SRR041939.SRS022629,SRP002395,SRR041939,SRS022629,METAGENOMIC ,AMPLICON,Palatine Tonsils,241820,Oral,5,2,4327,2292,V3-V5,101
SRR049306.SRS014603,SRP002395,SRR049306,SRS014603,METAGENOMIC ,AMPLICON,Supragingival plaque,241693,Oral,8,2,8121,3035,V13/V35,106
SRR328715.SRS063106,SRP002860,SRR328715,SRS063106,METAGENOMIC ,AMPLICON,Buccal mucosa,257114,Oral,3,2,6450,3019,V13/V35,47
SRR166908.SRS077526,SRP002860,SRR166908,SRS077526,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241802,Skin,14,3,3637,1099,V13/V35,29
SRR171869.SRS144118,SRP002860,SRR171869,SRS144118,METAGENOMIC ,AMPLICON,Palatine Tonsils,241869,Oral,5,2,4821,2287,V13/V35,63
SRR172327.SRS150013,SRP002860,SRR172327,SRS150013,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241772,Oral,2,2,4888,3097,V13/V35,44
SRR040895.SRS016720,SRP002395,SRR040895,SRS016720,METAGENOMIC ,AMPLICON,Palatine Tonsils,241836,Oral,5,2,5504,2587,V3-V5,61
SRR045582.SRS014655,SRP002395,SRR045582,SRS014655,METAGENOMIC ,AMPLICON,Buccal mucosa,241720,Oral,3,2,6407,4374,V13/V35,60
SRR091393.SRS078294,SRP002860,SRR091393,SRS078294,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241712,Skin,14,3,3904,684,V3-V5,25
SRR044948.SRS011405,SRP002395,SRR044948,SRS011405,METAGENOMIC ,AMPLICON,Stool,241834,Gastrointestinal tract,1,1,5913,3858,V13/V35,51
SRR328618.SRS064615,SRP002860,SRR328618,SRS064615,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241865,Skin,14,3,4220,2911,V13/V35,35
SRR048881.SRS058273,SRP002395,SRR048881,SRS058273,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241715,Skin,14,3,30106,22718,V13/V35,123
SRR048074.SRS021924,SRP002395,SRR048074,SRS021924,METAGENOMIC ,AMPLICON,Hard palate,241739,Oral,4,2,7008,2801,V13/V35,88
SRR172592.SRS143919,SRP002860,SRR172592,SRS143919,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241716,Skin,14,3,3942,2455,V13/V35,34
SRR172159.SRS104295,SRP002860,SRR172159,SRS104295,METAGENOMIC ,AMPLICON,Left Retroauricular crease,241723,Skin,12,3,8081,7037,V13/V35,35
SRR047861.SRS020190,SRP002395,SRR047861,SRS020190,METAGENOMIC ,AMPLICON,Hard palate,241762,Oral,4,2,5301,3292,V13/V35,98
SRR170176.SRS147022,SRP002860,SRR170176,SRS147022,METAGENOMIC ,AMPLICON,Stool,241863,Gastrointestinal tract,1,1,8252,4853,V13/V35,77
SRR047955.SRS023518,SRP002395,SRR047955,SRS023518,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241709,Skin,14,3,5442,4125,V13/V35,33
SRR047111.SRS051224,SRP002395,SRR047111,SRS051224,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241874,Oral,2,2,13977,8770,V13/V35,84
SRR172328.SRS148496,SRP002860,SRR172328,SRS148496,METAGENOMIC ,AMPLICON,Throat,241886,Oral,9,2,5444,3195,V13/V35,88
SRR046438.SRS057689,SRP002395,SRR046438,SRS057689,METAGENOMIC ,AMPLICON,Supragingival plaque,241863,Oral,8,2,8405,4190,V13/V35,48
SRR166926.SRS076846,SRP002860,SRR166926,SRS076846,METAGENOMIC ,AMPLICON,Tongue dorsum,241723,Oral,10,2,11412,5780,V13/V35,74
SRR201911.SRS103758,SRP002860,SRR201911,SRS103758,METAGENOMIC ,AMPLICON,Throat,257109,Oral,9,2,2461,1329,V1-V3,42
SRR046619.SRS046196,SRP002395,SRR046619,SRS046196,METAGENOMIC ,AMPLICON,Buccal mucosa,241854,Oral,3,2,6639,4126,V13/V35,68
SRR041884.SRS013474,SRP002395,SRR041884,SRS013474,METAGENOMIC ,AMPLICON,Subgingival plaque,241666,Oral,7,2,5296,3491,V3-V5,63
SRR044409.SRS019261,SRP002395,SRR044409,SRS019261,METAGENOMIC ,AMPLICON,Subgingival plaque,241800,Oral,7,2,7924,3865,V13/V35,105
SRR170715.SRS149312,SRP002860,SRR170715,SRS149312,METAGENOMIC ,AMPLICON,Supragingival plaque,241737,Oral,8,2,5877,3958,V13/V35,91
SRR045061.SRS011663,SRP002395,SRR045061,SRS011663,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241764,Oral,2,2,7345,5369,V13/V35,50
SRR046341.SRS062784,SRP002395,SRR046341,SRS062784,METAGENOMIC ,AMPLICON,Saliva,241693,Oral,6,2,9650,4485,V13/V35,144
SRR090023.SRS103766,SRP002860,SRR090023,SRS103766,METAGENOMIC ,AMPLICON,Subgingival plaque,257109,Oral,7,2,3669,1861,V3-V5,87
SRR047490.SRS011635,SRP002395,SRR047490,SRS011635,METAGENOMIC ,AMPLICON,Supragingival plaque,241795,Oral,8,2,11045,5622,V13/V35,124
SRR046493.SRS043573,SRP002395,SRR046493,SRS043573,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241769,Skin,14,3,12308,6832,V13/V35,33
SRR048192.SRS022432,SRP002395,SRR048192,SRS022432,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241719,Oral,2,2,5184,3726,V13/V35,32
SRR046340.SRS048816,SRP002395,SRR046340,SRS048816,METAGENOMIC ,AMPLICON,Hard palate,241736,Oral,4,2,7462,3592,V13/V35,91
SRR046742.SRS064296,SRP002395,SRR046742,SRS064296,METAGENOMIC ,AMPLICON,Palatine Tonsils,241756,Oral,5,2,8567,4373,V13/V35,118
SRR172546.SRS143502,SRP002860,SRR172546,SRS143502,METAGENOMIC ,AMPLICON,Posterior fornix,241857,Urogenital tract,16,4,3912,807,V13/V35,8
SRR049458.SRS065607,SRP002395,SRR049458,SRS065607,METAGENOMIC ,AMPLICON,Attached/Keratinized gingiva,241784,Oral,2,2,7872,6253,V13/V35,72
SRR048172.SRS022496,SRP002395,SRR048172,SRS022496,METAGENOMIC ,AMPLICON,Buccal mucosa,241810,Oral,3,2,6586,4575,V13/V35,73
SRR091404.SRS076896,SRP002860,SRR091404,SRS076896,METAGENOMIC ,AMPLICON,Buccal mucosa,257128,Oral,3,2,5762,2124,V3-V5,74
SRR172186.SRS142639,SRP002860,SRR172186,SRS142639,METAGENOMIC ,AMPLICON,Subgingival plaque,241893,Oral,7,2,3523,1749,V13/V35,64
SRR047662.SRS043203,SRP002395,SRR047662,SRS043203,METAGENOMIC ,AMPLICON,Palatine Tonsils,241717,Oral,5,2,7296,3891,V13/V35,89
SRR045832.SRS019405,SRP002395,SRR045832,SRS019405,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241805,Skin,13,3,6491,4609,V13/V35,43
SRR048283.SRS057422,SRP002395,SRR048283,SRS057422,METAGENOMIC ,AMPLICON,Anterior nares,241796,Airways,0,0,4770,2590,V13/V35,48
SRR049585.SRS062616,SRP002395,SRR049585,SRS062616,METAGENOMIC ,AMPLICON,Supragingival plaque,241877,Oral,8,2,9940,5033,V13/V35,71
SRR089886.SRS101265,SRP002860,SRR089886,SRS101265,METAGENOMIC ,AMPLICON,Tongue dorsum,241671,Oral,10,2,8801,3919,V3-V5,64
SRR046444.SRS044078,SRP002395,SRR046444,SRS044078,METAGENOMIC ,AMPLICON,Throat,241893,Oral,9,2,31575,23867,V13/V35,87
SRR048549.SRS055632,SRP002395,SRR048549,SRS055632,METAGENOMIC ,AMPLICON,Palatine Tonsils,241826,Oral,5,2,11718,5338,V13/V35,143
SRR048397.SRS055772,SRP002395,SRR048397,SRS055772,METAGENOMIC ,AMPLICON,Buccal mucosa,241760,Oral,3,2,4897,2956,V13/V35,93
SRR041484.SRS017673,SRP002395,SRR041484,SRS017673,METAGENOMIC ,AMPLICON,Left Antecubital fossa,241775,Skin,11,3,11950,6461,V3-V5,86
SRR042999.SRS023579,SRP002395,SRR042999,SRS023579,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241748,Skin,13,3,3139,1081,V3-V5,23
SRR049330.SRS015113,SRP002395,SRR049330,SRS015113,METAGENOMIC ,AMPLICON,Saliva,241850,Oral,6,2,9711,3505,V13/V35,150
SRR125807.SRS149212,SRP002860,SRR125807,SRS149212,METAGENOMIC ,AMPLICON,Palatine Tonsils,285233,Oral,5,2,10918,5540,V3-V5,110
SRR044529.SRS016026,SRP002395,SRR044529,SRS016026,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241708,Skin,13,3,11676,6389,V13/V35,41
SRR190383.SRS017236,SRP002860,SRR190383,SRS017236,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241838,Skin,14,3,17178,12114,V1-V3,65
SRR047825.SRS022962,SRP002395,SRR047825,SRS022962,METAGENOMIC ,AMPLICON,Vaginal introitus,241781,Urogenital tract,17,4,6446,4369,V13/V35,26
SRR170940.SRS147094,SRP002860,SRR170940,SRS147094,METAGENOMIC ,AMPLICON,Tongue dorsum,241869,Oral,10,2,10053,5612,V13/V35,67
SRR044916.SRS011431,SRP002395,SRR044916,SRS011431,METAGENOMIC ,AMPLICON,Supragingival plaque,241709,Oral,8,2,6411,4238,V13/V35,75
SRR328592.SRS064365,SRP002860,SRR328592,SRS064365,METAGENOMIC ,AMPLICON,Supragingival plaque,257117,Oral,8,2,9385,4349,V13/V35,99
SRR192197.SRS016886,SRP002860,SRR192197,SRS016886,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241745,Skin,14,3,14042,11556,V1-V3,15
SRR046504.SRS015858,SRP002395,SRR046504,SRS015858,METAGENOMIC ,AMPLICON,Right Retroauricular crease,241830,Skin,14,3,6565,1505,V13/V35,21
SRR044943.SRS011417,SRP002395,SRR044943,SRS011417,METAGENOMIC ,AMPLICON,Saliva,241709,Oral,6,2,3797,2177,V13/V35,111
SRR333083.SRS078773,SRP002860,SRR333083,SRS078773,METAGENOMIC ,AMPLICON,Anterior nares,241725,Airways,0,0,10191,8205,V1-V3,23
SRR049627.SRS047957,SRP002395,SRR049627,SRS047957,METAGENOMIC ,AMPLICON,Throat,257131,Oral,9,2,5991,2663,V13/V35,67
SRR044214.SRS016016,SRP002395,SRR044214,SRS016016,METAGENOMIC ,AMPLICON,Subgingival plaque,241708,Oral,7,2,3125,1187,V13/V35,74
SRR043621.SRS014663,SRP002395,SRR043621,SRS014663,METAGENOMIC ,AMPLICON,Throat,241720,Oral,9,2,7572,2051,V13/V35,109
SRR170517.SRS146740,SRP002860,SRR170517,SRS146740,METAGENOMIC ,AMPLICON,Hard palate,257131,Oral,4,2,5929,3314,V13/V35,54
SRR170192.SRS105112,SRP002860,SRR170192,SRS105112,METAGENOMIC ,AMPLICON,Anterior nares,241885,Airways,0,0,10845,6778,V13/V35,70
SRR043651.SRS014562,SRP002395,SRR043651,SRS014562,METAGENOMIC ,AMPLICON,Hard palate,241730,Oral,4,2,7791,5591,V13/V35,62
SRR045474.SRS011438,SRP002395,SRR045474,SRS011438,METAGENOMIC ,AMPLICON,Right Antecubital fossa,241709,Skin,13,3,5474,3309,V13/V35,62
SRR041504.SRS020364,SRP002395,SRR041504,SRS020364,METAGENOMIC ,AMPLICON,Hard palate,241726,Oral,4,2,5891,3807,V3-V5,101
SRR331245.SRS077516,SRP002860,SRR331245,SRS077516,METAGENOMIC ,AMPLICON,Palatine Tonsils,241802,Oral,5,2,3220,1382,V13/V35,68
